,"DOM_01T02: Agriculture, hunting, forestry",DOM_03: Fishing and aquaculture,"DOM_05T06: Mining and quarrying, energy producing products","DOM_07T08: Mining and quarrying, non-energy producing products",DOM_09: Mining support service activities,"DOM_10T12: Food products, beverages and tobacco","DOM_13T15: Textiles, textile products, leather and footwear",DOM_16: Wood and products of wood and cork,DOM_17T18: Paper products and printing,DOM_19: Coke and refined petroleum products,DOM_20: Chemical and chemical products,"DOM_21: Pharmaceuticals, medicinal chemical and botanical products",DOM_22: Rubber and plastics products,DOM_23: Other non-metallic mineral products,DOM_24: Basic metals,DOM_25: Fabricated metal products,"DOM_26: Computer, electronic and optical equipment",DOM_27: Electrical equipment,"DOM_28: Machinery and equipment, nec","DOM_29: Motor vehicles, trailers and semi-trailers",DOM_30: Other transport equipment,DOM_31T33: Manufacturing nec; repair and installation of machinery and equipment,"DOM_35: Electricity, gas, steam and air conditioning supply","DOM_36T39: Water supply; sewerage, waste management and remediation activities",DOM_41T43: Construction,DOM_45T47: Wholesale and retail trade; repair of motor vehicles,DOM_49: Land transport and transport via pipelines,DOM_50: Water transport,DOM_51: Air transport,DOM_52: Warehousing and support activities for transportation,DOM_53: Postal and courier activities,DOM_55T56: Accommodation and food service activities,"DOM_58T60: Publishing, audiovisual and broadcasting activities",DOM_61: Telecommunications,DOM_62T63: IT and other information services,DOM_64T66: Financial and insurance activities,DOM_68: Real estate activities,"DOM_69T75: Professional, scientific and technical activities",DOM_77T82: Administrative and support services,DOM_84: Public administration and defence; compulsory social security,DOM_85: Education,DOM_86T88: Human health and social work activities,"DOM_90T93: Arts, entertainment and recreation",DOM_94T96: Other service activities,DOM_97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),TOTAL: Total
"DOM_36T39: Water supply; sewerage, waste management and remediation activities",26.3,0.1,5.9,11.3,1.3,298,15.4,1,223,17.8,31.5,174.4,13.8,30.2,235.7,41.4,2.2,12.1,5.7,116.9,0.3,4.5,22.5,251.2,17.1,58.3,71.1,9.9,49.7,72.1,0.5,50.6,4.2,2.7,0.9,16.6,0.5,12.4,19.6,1830.7,100.5,60.3,19.6,15.5,0,1416.5,0,552.8,1.4,5.8,0,0.1,12,5944
DOM_41T43: Construction,21,0,329.3,12.6,0,185.8,32.1,12,28.6,66.1,50.3,48.4,27.7,25.1,23.9,30.7,18.6,6.8,39.3,44.1,2.4,12,317.6,42.3,2031,513.9,961.9,24.3,0,156.5,11.3,268.6,20,491.7,15.8,67.9,432,158.2,159.7,515,292.8,258.7,0.1,152.9,0,0,0,0,31806.1,0,0,0,0,39715.4
DOM_45T47: Wholesale and retail trade; repair of motor vehicles,3565,90.3,381.1,116.8,130.1,9279.1,872.7,156.4,797.7,451.2,1641.3,854.5,649.7,390.3,267.7,297.2,570.9,182.4,646,1508.2,20.1,220.2,667.3,170.7,2208.6,2039.2,1443.4,62,213.6,401.9,45.4,3095.6,598.1,564.7,130.6,602.2,280.9,933.9,728.6,1159.2,591.5,1390.1,298.5,706.9,0,38809.6,0,231.8,4265.2,-229.3,0,231.7,10581.9,95312.8
DOM_49: Land transport and transport via pipelines,1672.9,30.5,606.9,89.3,71.2,2017.1,158.7,87.1,248.2,342.5,759.5,167.8,317.2,188.9,538.1,210,172.9,122.7,362.5,665.8,11.4,82.8,497.6,50.1,886.1,967.7,637.1,23.4,47.5,102.9,65.3,754,96.6,50.3,14.6,135.3,96.4,144.1,191.9,204.2,142.9,229.8,39.4,213,0,12457.6,0,15.7,2111.9,0,0,253.6,3140.6,32493.7
DOM_50: Water transport,32,1.1,0.9,1.7,1.2,67,5.8,1.9,7.9,6.5,30.4,6.4,13,5.8,23.6,8.5,6.8,5.3,15.2,28.4,0.5,3.2,0.6,0.9,36.4,10.9,15.3,0.3,2,0.5,0,32.7,3.1,2,0.5,4.7,2.4,4.4,7.2,8.1,3.8,9.4,0.1,3.2,0,358.7,0,0.7,95.3,-209,0,31.7,597.3,1296.4
DOM_51: Air transport,27.2,1.6,5,1.5,1.4,58.1,5.2,1.7,7.1,7.7,26.4,6.4,11.3,5.1,20.2,7.5,6.3,4.6,13.5,24.5,0.4,2.9,6.7,1.6,31,13.3,13,0.8,11.1,2.7,0.5,27.8,3.7,2.1,1.2,4.5,2.4,8.2,7.8,14.1,4.3,8,1.7,6.3,0,348.1,0,0.6,81.1,67.3,0,179.1,1842.2,2936.7
DOM_52: Warehousing and support activities for transportation,231.8,68.2,64.3,12.7,21.5,497.4,51.4,17.7,58.7,116.8,191.4,56.9,77.1,39.3,134.9,54.5,46.3,31,125.6,210,3.1,20.8,130,15.5,214.1,194.9,1277.7,58.1,71.3,272.9,48,189.1,88.2,35.7,9.4,41.4,16.2,38.9,145.3,56.9,26.5,56.8,10.6,58.4,0,2378.1,0,3.9,544,4.5,0,20.2,839.8,8977.9
DOM_53: Postal and courier activities,7,0.9,12.9,1.5,2.9,20.3,4.1,1.4,6.2,1.9,7.9,5.9,3,2.7,3,5.8,5.8,1.7,13,13.3,0.1,1.8,13.3,12.7,6,92.1,15.5,0.4,5.7,6.2,9.1,12.1,61.3,55.6,12,184.4,3.1,98.5,31.9,75.4,22.1,16.6,4,127.3,0,261.7,0,0,0,7.4,0,4.3,114.1,1376.2
DOM_55T56: Accommodation and food service activities,192.3,36.7,29,4.5,15,227.2,80.7,20.6,83.2,31.1,43.7,76.2,57.7,29.9,24.3,76.2,71.7,28.3,96.6,53.6,6.3,56.2,11.3,10.9,24.4,202.9,83.4,17.8,77.7,45,7.5,461.2,165.8,49.7,43.3,169.1,2.4,178.1,46.5,860.1,78.8,162.5,35.7,66.5,0,22832.1,0,21.6,31.6,2.4,0,1700.3,53.1,28783
"DOM_58T60: Publishing, audiovisual and broadcasting activities",19.4,2.2,15.5,10.1,4.4,337,19.5,3.3,66.3,4,174.5,133.1,13.3,12.4,4.9,13.2,26,5.4,26.7,31.1,0.8,8.1,18.3,18.3,6.2,688.1,91.4,4.7,17,35.5,11.3,90.2,1223.5,331.6,77,301.2,4.2,1135.9,168.7,376.6,131.2,55,50.9,186.6,0,3985.1,0,117.3,390.4,88.1,0,21.1,770.7,11327.1
DOM_61: Telecommunications,26,12.4,17.6,11.1,9.8,90.2,22.2,7.5,32.2,9.9,29,23.2,16.7,11.9,2.9,19.5,20,4.7,26.6,23.4,1,14.3,36.8,20.9,22.7,649.9,438.8,22,41.6,133.9,25.3,134.8,251.5,1534.2,120.3,313.7,27.3,359.2,220,273.1,175,175.5,44.8,89.1,0,7520.7,0,0,0,12.6,0,61.9,358.1,13495.2
